RACE,CLASS,AGE,SEX,DEGREE,EDUC,MARITAL,ATTEND,INCOME16,SEI10,MADEG,PADEG,MAEDUC,PAEDUC,MASEI10,PASEI10,PRESTG10,PRES16,PRES12
1,3,68,1,2,14,3,0,8,28.7,0,0,8,8,24.2,45.4,44,C,1
1,3,73,1,4,18,1,0,23,86.5,1,0,12,6,26.8,46.5,73,T,2
1,3,67,1,4,18,1,1,22,80.9,1,1,12,12,14.6,34.6,61,T,2
1,3,70,1,4,19,1,3,21,81.6,3,1,16,12,59.8,12.4,63,T,2
1,3,50,2,2,14,1,2,26,28.6,1,2,12,14,41.8,62,48,T,2
1,3,45,1,3,14,4,1,19,73.9,1,1,12,12,69.3,28.7,53,C,1
1,3,77,2,1,12,3,0,10,23.8,0,1,3,12,12.6,32,25,T,2
1,2,70,1,0,9,1,1,3,34.7,0,0,6,6,14,39.9,47,T,1
1,2,75,2,3,16,2,8,16,92.8,4,4,18,19,84.5,68.6,80,T,2
1,2,45,1,1,14,1,0,19,59.8,1,3,12,16,12.6,86.5,46,T,1
2,2,40,1,1,14,5,7,19,57.8,1,1,12,12,57.5,46.6,47,C,1
1,3,43,1,4,18,5,7,10,74.8,1,2,12,14,38.8,58.4,61,T,1
1,3,43,2,3,16,1,4,23,84.5,1,1,14,13,25.7,48.8,74,C,1
3,2,77,1,1,13,5,2,5,52.3,0,0,4,2,20.7,39.9,51,C,1
1,3,46,1,3,16,1,2,25,78.3,3,3,16,16,82.5,62,51,C,1
1,3,50,2,4,20,5,2,22,89.4,3,1,16,14,80.9,74.6,61,DK,2
1,3,37,2,3,16,1,0,26,87.9,3,1,16,11,57.8,57.8,60,DK,2
1,3,34,2,1,15,5,0,11,59.1,1,1,12,12,87.9,37,38,C,1
1,2,56,2,2,15,4,2,22,19.7,2,2,15,14,75.5,65.1,45,C,1
2,2,61,1,3,16,3,2,19,76.3,1,0,13,9,26.8,28.3,60,DK,1
1,3,37,2,3,16,1,0,25,80.9,1,1,12,12,44.9,59.1,61,C,1
1,3,39,1,3,16,3,2,18,64.2,2,2,14,14,39.7,77.4,53,T,1
